id,pii_type,value,bbox,annotator
f/j/l/n/fjln0143_page4,Phone Number,6761 5 5 5 5 9,"(0.24933069944381714, 0.9113684296607971, 0.5169505719095469, 0.9390999265015125)",0
f/j/l/n/fjln0143_page4,Organization Name,KOOL,"(0.4139663279056549, 0.30001306533813477, 0.4473082721233368, 0.30840395484119654)",0
f/j/l/n/fjln0143_page4,Organization Name,KOOL,"(0.27035418152809143, 0.44730475544929504, 0.3028019145131111, 0.45583213958889246)",0
f/j/l/n/fjln0143_page4,Contract Number,6761,"(0.24933069944381714, 0.9113684296607971, 0.3530152440071106, 0.9384231176227331)",0
f/j/l/n/fjln0143_page4,Email Address,:ttps://www.industrydocuments.ucsf.edu/docs/fjln0143,"(0.2777971029281616, 0.9800652861595154, 0.7901318073272705, 0.9971942733973265)",1
f/j/l/n/fjln0143_page4,Phone Number,6761 5 5 5 5 9,"(0.24933069944381714, 0.9113684296607971, 0.5169505719095469, 0.9390999265015125)",1
f/j/l/n/fjln0143_page4,Organization Name,KOOL,"(0.4139663279056549, 0.30001306533813477, 0.4473082721233368, 0.30840395484119654)",1
f/j/l/n/fjln0143_page4,Organization Name,KOOL,"(0.27035418152809143, 0.44730475544929504, 0.3028019145131111, 0.45583213958889246)",1
f/j/l/n/fjln0143_page4,Contract Number,6761,"(0.24933069944381714, 0.9113684296607971, 0.3530152440071106, 0.9384231176227331)",1
f/j/l/n/fjln0143_page4,Email Address,https://www.industrydocuments.ucsf.edu/docs/fjln0143,"(0.2777971029281616, 0.9800652861595154, 0.7901318073272705, 0.9971942733973265)",2
f/j/l/n/fjln0143_page4,Phone Number,6761 5 5 5 5 9,"(0.24933069944381714, 0.9113684296607971, 0.5169505719095469, 0.9390999265015125)",2
f/j/l/n/fjln0143_page4,Location,is,"(0.7574470043182373, 0.18627209961414337, 0.7670285888016224, 0.19856632966548204)",2
f/j/l/n/fjln0143_page4,Location,KOOL,"(0.4139663279056549, 0.30001306533813477, 0.4473082721233368, 0.30840395484119654)",2
f/j/l/n/fjln0143_page4,Location,KOOL,"(0.27035418152809143, 0.44730475544929504, 0.3028019145131111, 0.45583213958889246)",2
f/j/l/n/fjln0143_page4,Location,ttps://www.industrydocuments.ucsf.edu/docs/fjln0143,"(0.2777971029281616, 0.9800652861595154, 0.7901318073272705, 0.9971942733973265)",2
f/j/l/n/fjln0143_page4,Location,6761 5 5 5 5 9,"(0.24933069944381714, 0.9113684296607971, 0.5169505719095469, 0.9390999265015125)",2
f/j/l/n/fjln0143_page4,Organization Name,KOOL,"(0.4139663279056549, 0.30001306533813477, 0.4473082721233368, 0.30840395484119654)",2
f/j/l/n/fjln0143_page4,Contract Number,6761 5 5 5 5 9,"(0.24933069944381714, 0.9113684296607971, 0.5169505719095469, 0.9390999265015125)",2
