id,pii_type,value,bbox,annotator
f/g/v/v/fgvv0063_page2,Person Name,P. D. Greenberg,"(0.24505382776260376, 0.25774163007736206, 0.38025813549757004, 0.27337615191936493)",0
f/g/v/v/fgvv0063_page2,Person Name,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",0
f/g/v/v/fgvv0063_page2,Person Name,O/C-A2W,"(0.6475124359130859, 0.895662248134613, 0.736554279923439, 0.9083448657765985)",0
f/g/v/v/fgvv0063_page2,Email Address,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",0
f/g/v/v/fgvv0063_page2,Phone Number,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",0
f/g/v/v/fgvv0063_page2,Phone Number,O/C-A2W -,"(0.6475124359130859, 0.895662248134613, 0.736554279923439, 0.9083448657765985)",0
f/g/v/v/fgvv0063_page2,Organization Name,PHILIP MORRIS USA,"(0.16237694025039673, 0.14877554774284363, 0.40776050835847855, 0.16460326127707958)",0
f/g/v/v/fgvv0063_page2,Organization Name,Research Development & Engineering,"(0.16179312765598297, 0.173487588763237, 0.5589694529771805, 0.19147843308746815)",0
f/g/v/v/fgvv0063_page2,Date,"March 30, 2000","(0.7040348052978516, 0.22532692551612854, 0.8350472748279572, 0.23916026391088963)",0
f/g/v/v/fgvv0063_page2,Date,February 2000,"(0.1881207376718521, 0.3580297827720642, 0.3130378946661949, 0.37244063057005405)",0
f/g/v/v/fgvv0063_page2,Person Name,P. D. Greenberg,"(0.24505382776260376, 0.25774163007736206, 0.38025813549757004, 0.27337615191936493)",1
f/g/v/v/fgvv0063_page2,Person Name,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",1
f/g/v/v/fgvv0063_page2,Person Name,O/C-A2W,"(0.6475124359130859, 0.895662248134613, 0.736554279923439, 0.9083448657765985)",1
f/g/v/v/fgvv0063_page2,Email Address,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",1
f/g/v/v/fgvv0063_page2,Location,PHILIP MORRIS USA,"(0.16237694025039673, 0.14877554774284363, 0.40776050835847855, 0.16460326127707958)",1
f/g/v/v/fgvv0063_page2,Location,Research Development & Engineering,"(0.16179312765598297, 0.173487588763237, 0.5589694529771805, 0.19147843308746815)",1
f/g/v/v/fgvv0063_page2,Location,"March 30, 2000","(0.7040348052978516, 0.22532692551612854, 0.8350472748279572, 0.23916026391088963)",1
f/g/v/v/fgvv0063_page2,Location,P. D. Greenberg,"(0.24505382776260376, 0.25774163007736206, 0.38025813549757004, 0.27337615191936493)",1
f/g/v/v/fgvv0063_page2,Location,February 2000,"(0.1881207376718521, 0.3580297827720642, 0.3130378946661949, 0.37244063057005405)",1
f/g/v/v/fgvv0063_page2,Location,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",1
f/g/v/v/fgvv0063_page2,Location,O/C-A2W,"(0.6475124359130859, 0.895662248134613, 0.736554279923439, 0.9083448657765985)",1
f/g/v/v/fgvv0063_page2,Location,https://www.industrydocuments.ucsf.edu/docs/fgvv0063,"(0.22075212001800537, 0.9812334775924683, 0.7787767648696899, 0.9975807275623083)",1
f/g/v/v/fgvv0063_page2,Organization Name,PHILIP MORRIS USA,"(0.16237694025039673, 0.14877554774284363, 0.40776050835847855, 0.16460326127707958)",1
f/g/v/v/fgvv0063_page2,Organization Name,Research Development & Engineering,"(0.16179312765598297, 0.173487588763237, 0.5589694529771805, 0.19147843308746815)",1
f/g/v/v/fgvv0063_page2,Organization Name,https://www.industrydocuments.ucsf.edu,"(0.22075212001800537, 0.9812334775924683, 0.7787767648696899, 0.9975807275623083)",1
f/g/v/v/fgvv0063_page2,Date,"March 30, 2000","(0.7040348052978516, 0.22532692551612854, 0.8350472748279572, 0.23916026391088963)",1
f/g/v/v/fgvv0063_page2,Date,February 2000,"(0.1881207376718521, 0.3580297827720642, 0.3130378946661949, 0.37244063057005405)",1
f/g/v/v/fgvv0063_page2,Person Name,P. D. Greenberg,"(0.24505382776260376, 0.25774163007736206, 0.38025813549757004, 0.27337615191936493)",2
f/g/v/v/fgvv0063_page2,Person Name,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",2
f/g/v/v/fgvv0063_page2,Person Name,O/C-A2W,"(0.6475124359130859, 0.895662248134613, 0.736554279923439, 0.9083448657765985)",2
f/g/v/v/fgvv0063_page2,Email Address,T. BEANE,"(0.6487951278686523, 0.8795531392097473, 0.7331060320138931, 0.892040953040123)",2
f/g/v/v/fgvv0063_page2,Email Address,O/C-A2W,"(0.6475124359130859, 0.895662248134613, 0.736554279923439, 0.9083448657765985)",2
f/g/v/v/fgvv0063_page2,Location,PHILIP MORRIS USA,"(0.16237694025039673, 0.14877554774284363, 0.40776050835847855, 0.16460326127707958)",2
f/g/v/v/fgvv0063_page2,Location,Research Development & Engineering,"(0.16179312765598297, 0.173487588763237, 0.5589694529771805, 0.19147843308746815)",2
f/g/v/v/fgvv0063_page2,Location,"March 30, 2000","(0.7040348052978516, 0.22532692551612854, 0.8350472748279572, 0.23916026391088963)",2
f/g/v/v/fgvv0063_page2,Location,https://www.industrydocuments.ucsf.edu/docs/fgvv0063,"(0.22075212001800537, 0.9812334775924683, 0.7787767648696899, 0.9975807275623083)",2
