id,pii_type,value,bbox,annotator
f/g/w/b/fgwb0124_page1,Person Name,GRAHAM,"(0.43589919805526733, 0.08182697743177414, 0.5112627372145653, 0.09319605678319931)",0
f/g/w/b/fgwb0124_page1,Person Name,Ruby Handles,"(0.5834451913833618, 0.8881598114967346, 0.9002681374549866, 0.9371648579835892)",0
f/g/w/b/fgwb0124_page1,Location,220,"(0.5768770575523376, 0.9215831756591797, 0.6473802328109741, 0.9391722064465284)",0
f/g/w/b/fgwb0124_page1,Location,12-5-78,"(0.582344114780426, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",0
f/g/w/b/fgwb0124_page1,Organization Name,GRAHAM ADVERTISING,"(0.43589919805526733, 0.07937310636043549, 0.6518495976924896, 0.09319605678319931)",0
f/g/w/b/fgwb0124_page1,Organization Name,Lorillard,"(0.2839081287384033, 0.11622878164052963, 0.37882639467716217, 0.12880346830934286)",0
f/g/w/b/fgwb0124_page1,Organization Name,MCA-GRAHAM Advertising,"(0.31769880652427673, 0.23759104311466217, 0.5862618684768677, 0.25261775590479374)",0
f/g/w/b/fgwb0124_page1,Date,12-5-78,"(0.582344114780426, 0.9422664642333984, 0.7651309967041016, 0.9707328546792269)",0
f/g/w/b/fgwb0124_page1,Date,Date,"(0.05648594722151756, 0.9532838463783264, 0.10304075106978416, 0.9677606532350183)",0
f/g/w/b/fgwb0124_page1,Contract Number,"For good and valuable consideration,","(0.056214477866888046, 0.14759337902069092, 0.4244084507226944, 0.16626206133514643)",0
f/g/w/b/fgwb0124_page1,Contract Number,"I, for myself, my heirs, successors, executors, administrators assigns, licensees,","(0.0538942813873291, 0.20018090307712555, 0.9188057854771614, 0.21752549149096012)",0
f/g/w/b/fgwb0124_page1,Contract Number,hereby,"(0.7881275415420532, 0.2178608775138855, 0.8582840636372566, 0.2354481779038906)",0
f/g/w/b/fgwb0124_page1,Contract Number,I hereby warrant that I have not entered into any agreement in conflict with the terms,"(0.054990317672491074, 0.5008288025856018, 0.9145578444004059, 0.5177846010774374)",0
