id,pii_type,value,bbox,annotator
f/h/b/h/fhbh0177_page1,Person Name,"Mr. V. B. Lougee, III","(0.10747325420379639, 0.11988753080368042, 0.3654040992259979, 0.13370684161782265)",0
f/h/b/h/fhbh0177_page1,Person Name,"R. S. Sprinkle, III","(0.10795144736766815, 0.16561545431613922, 0.3422089107334614, 0.18016938865184784)",0
f/h/b/h/fhbh0177_page1,Person Name,Mr. William J. Moore,"(0.17076291143894196, 0.7416045665740967, 0.40893595293164253, 0.7538100657984614)",0
f/h/b/h/fhbh0177_page1,Person Name,Mr. Arnold Henson,"(0.17030639946460724, 0.7891674637794495, 0.37369050085544586, 0.8007996957749128)",0
f/h/b/h/fhbh0177_page1,Person Name,"Chief Counsel, AB","(0.17205604910850525, 0.8038053512573242, 0.3748740553855896, 0.8163383100181818)",0
f/h/b/h/fhbh0177_page1,Organization Name,Al,"(0.08862977474927902, 0.02679399400949478, 0.10564140230417252, 0.040381274186074734)",0
f/h/b/h/fhbh0177_page1,Organization Name,The American Tobacco Company,"(0.46193960309028625, 0.033836472779512405, 0.8731309175491333, 0.07543333247303963)",0
f/h/b/h/fhbh0177_page1,Organization Name,"AMERICAN BRANDS, INC.","(0.6403047442436218, 0.07162783294916153, 0.7877798695117235, 0.07848142087459564)",0
f/h/b/h/fhbh0177_page1,Organization Name,FTC,"(0.41731899976730347, 0.3379325270652771, 0.45409177616238594, 0.34836068842560053)",0
f/h/b/h/fhbh0177_page1,Organization Name,AB,"(0.34911951422691345, 0.8039281368255615, 0.3748740553855896, 0.8144655721262097)",0
f/h/b/h/fhbh0177_page1,Date,"July 10, 1978","(0.10776343941688538, 0.07306939363479614, 0.26220835000276566, 0.0870456425473094)",0
f/h/b/h/fhbh0177_page1,Date,"June 27 and 28, 1978","(0.44223177433013916, 0.32173070311546326, 0.6877228915691376, 0.33477024361491203)",0
f/h/b/h/fhbh0177_page1,Contract Number,NYO 627 (8-68),"(0.03636625409126282, 0.011283977888524532, 0.126097172498703, 0.019268961623311043)",0
