id,pii_type,value,bbox,annotator
f/h/j/d/fhjd0139_page2,Person Name,"T. E. Whitehair, Jr.","(0.13566191494464874, 0.10416190326213837, 0.3132668361067772, 0.11733043473213911)",0
f/h/j/d/fhjd0139_page2,Person Name,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",0
f/h/j/d/fhjd0139_page2,Phone Number,http://industrydocuments.library.ucsf.edu/tobacco/docs/fhjd0139,"(0.16440296173095703, 0.9802846908569336, 0.8600134253501892, 0.9969765860587358)",0
f/h/j/d/fhjd0139_page2,Phone Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",0
f/h/j/d/fhjd0139_page2,Location,LSF,"(0.45589056611061096, 0.1594104766845703, 0.48945749923586845, 0.17197921220213175)",0
f/h/j/d/fhjd0139_page2,Location,Marlboro,"(0.7743352055549622, 0.25518372654914856, 0.8467267453670502, 0.2669942732900381)",0
f/h/j/d/fhjd0139_page2,Location,Lucky Strike KS,"(0.32170987129211426, 0.255235880613327, 0.45631863735616207, 0.2690009828656912)",0
f/h/j/d/fhjd0139_page2,Organization Name,Lucky Strike,"(0.32170987129211426, 0.255235880613327, 0.42973846569657326, 0.2690009828656912)",0
f/h/j/d/fhjd0139_page2,Date,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",0
f/h/j/d/fhjd0139_page2,Contract Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",0
f/h/j/d/fhjd0139_page2,Person Name,"T. E. Whitehair, Jr.","(0.13566191494464874, 0.10416190326213837, 0.3132668361067772, 0.11733043473213911)",1
f/h/j/d/fhjd0139_page2,Person Name,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",1
f/h/j/d/fhjd0139_page2,Email Address,http://industrydocuments.library.ucsf.edu/tobacco/docs/fhjd0139,"(0.16440296173095703, 0.9802846908569336, 0.8600134253501892, 0.9969765860587358)",1
f/h/j/d/fhjd0139_page2,Phone Number,http://industrydocuments.library.ucsf.edu/tobacco/docs/fhjd0139,"(0.16440296173095703, 0.9802846908569336, 0.8600134253501892, 0.9969765860587358)",1
f/h/j/d/fhjd0139_page2,Phone Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",1
f/h/j/d/fhjd0139_page2,Location,Lucky Strike KS,"(0.32170987129211426, 0.255235880613327, 0.45631863735616207, 0.2690009828656912)",1
f/h/j/d/fhjd0139_page2,Organization Name,LSF,"(0.45589056611061096, 0.1594104766845703, 0.48945749923586845, 0.17197921220213175)",1
f/h/j/d/fhjd0139_page2,Organization Name,Lucky Strike KS,"(0.32170987129211426, 0.255235880613327, 0.45631863735616207, 0.2690009828656912)",1
f/h/j/d/fhjd0139_page2,Date,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",1
f/h/j/d/fhjd0139_page2,Date,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",1
f/h/j/d/fhjd0139_page2,Contract Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",1
f/h/j/d/fhjd0139_page2,Person Name,"T. E. Whitehair, Jr.","(0.13566191494464874, 0.10416190326213837, 0.3132668361067772, 0.11733043473213911)",2
f/h/j/d/fhjd0139_page2,Person Name,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",2
f/h/j/d/fhjd0139_page2,Phone Number,Huithel,"(0.48386648297309875, 0.4713042378425598, 0.7277006804943085, 0.5252992324531078)",2
f/h/j/d/fhjd0139_page2,Phone Number,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",2
f/h/j/d/fhjd0139_page2,Location,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",2
f/h/j/d/fhjd0139_page2,Location,LSF,"(0.45589056611061096, 0.1594104766845703, 0.48945749923586845, 0.17197921220213175)",2
f/h/j/d/fhjd0139_page2,Location,Marlboro,"(0.7743352055549622, 0.25518372654914856, 0.8467267453670502, 0.2669942732900381)",2
f/h/j/d/fhjd0139_page2,Location,Lucky Strike KS,"(0.32170987129211426, 0.255235880613327, 0.45631863735616207, 0.2690009828656912)",2
f/h/j/d/fhjd0139_page2,Location,Huithel,"(0.48386648297309875, 0.4713042378425598, 0.7277006804943085, 0.5252992324531078)",2
f/h/j/d/fhjd0139_page2,Location,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",2
f/h/j/d/fhjd0139_page2,Organization Name,LSF,"(0.45589056611061096, 0.1594104766845703, 0.48945749923586845, 0.17197921220213175)",2
f/h/j/d/fhjd0139_page2,Organization Name,Lucky Strike,"(0.32170987129211426, 0.255235880613327, 0.42973846569657326, 0.2690009828656912)",2
f/h/j/d/fhjd0139_page2,Date,"AUGUST 13, 1984","(0.6856609582901001, 0.09102437645196915, 0.8202233612537384, 0.10415003169327974)",2
f/h/j/d/fhjd0139_page2,Contract Number,464008206,"(0.7086198925971985, 0.8728417158126831, 0.8526506274938583, 0.8899470213800669)",2
f/h/j/d/fhjd0139_page2,Contract Number,Huithel,"(0.48386648297309875, 0.4713042378425598, 0.7277006804943085, 0.5252992324531078)",2
f/h/j/d/fhjd0139_page2,Contract Number,J. F. WILKELM,"(0.4898926317691803, 0.5139204263687134, 0.6057211756706238, 0.5262705720961094)",2
