id,pii_type,value,bbox,annotator
f/h/m/m/fhmm0017_page2,Person Name,Technical Advisor,"(0.6408140063285828, 0.9295743107795715, 0.8114336207509041, 0.940385377034545)",0
f/h/m/m/fhmm0017_page2,Person Name,Fiske Brothers Refining Co.,"(0.18836599588394165, 0.9063388705253601, 0.4578409790992737, 0.9198351837694645)",0
f/h/m/m/fhmm0017_page2,Location,https://www.industrydocuments.ucsf.edu/docs/fhmm0017,"(0.21655528247356415, 0.9788604378700256, 0.788363978266716, 0.9968605097383261)",0
f/h/m/m/fhmm0017_page2,Location,Fiske Brothers Refining Co.,"(0.18836599588394165, 0.9063388705253601, 0.4578409790992737, 0.9198351837694645)",0
f/h/m/m/fhmm0017_page2,Organization Name,Fiske Brothers Refining Co.,"(0.18836599588394165, 0.9063388705253601, 0.4578409790992737, 0.9198351837694645)",0
f/h/m/m/fhmm0017_page2,Organization Name,PREPARED BY,"(0.5062968134880066, 0.9139313101768494, 0.603912740945816, 0.9233575323596597)",0
f/h/m/m/fhmm0017_page2,Organization Name,Technical Advisor,"(0.6408140063285828, 0.9295743107795715, 0.8114336207509041, 0.940385377034545)",0
f/h/m/m/fhmm0017_page2,Date,"September 24, 1985","(0.20427455008029938, 0.9366567730903625, 0.38223982602357864, 0.9503885833546519)",0
f/h/m/m/fhmm0017_page2,Person Name,Technical Advisor,"(0.6408140063285828, 0.9295743107795715, 0.8114336207509041, 0.940385377034545)",1
f/h/m/m/fhmm0017_page2,Person Name,Fiske Brothers Refining Co.,"(0.18836599588394165, 0.9063388705253601, 0.4578409790992737, 0.9198351837694645)",1
f/h/m/m/fhmm0017_page2,Email Address,https://www.industrydocuments.ucsf.edu/docs/fhmm0017,"(0.21655528247356415, 0.9788604378700256, 0.788363978266716, 0.9968605097383261)",1
f/h/m/m/fhmm0017_page2,Location,https://www.industrydocuments.ucsf.edu/docs/fhmm0017,"(0.21655528247356415, 0.9788604378700256, 0.788363978266716, 0.9968605097383261)",1
f/h/m/m/fhmm0017_page2,Location,Fiske Brothers Refining Co.,"(0.18836599588394165, 0.9063388705253601, 0.4578409790992737, 0.9198351837694645)",1
f/h/m/m/fhmm0017_page2,Organization Name,Fiske Brothers Refining Co.,"(0.18836599588394165, 0.9063388705253601, 0.4578409790992737, 0.9198351837694645)",1
f/h/m/m/fhmm0017_page2,Organization Name,PREPARED BY,"(0.5062968134880066, 0.9139313101768494, 0.603912740945816, 0.9233575323596597)",1
f/h/m/m/fhmm0017_page2,Organization Name,Technical Advisor,"(0.6408140063285828, 0.9295743107795715, 0.8114336207509041, 0.940385377034545)",1
f/h/m/m/fhmm0017_page2,Date,"September 24, 1985","(0.20427455008029938, 0.9366567730903625, 0.38223982602357864, 0.9503885833546519)",1
f/h/m/m/fhmm0017_page2,Contract Number,SECTION V HEALTH HAZARD DATA,"(0.34379708766937256, 0.017406195402145386, 0.6448673941195011, 0.03275633882731199)",1
f/h/m/m/fhmm0017_page2,Contract Number,THRESMOLD LIMIT VALUE None,"(0.0663362517952919, 0.04319212958216667, 0.3528688848018646, 0.05600607953965664)",1
f/h/m/m/fhmm0017_page2,Contract Number,EFFECTS OF OVEREXPOSURE None,"(0.06763280183076859, 0.06386338919401169, 0.3535393103957176, 0.07989353965967894)",1
f/h/m/m/fhmm0017_page2,Contract Number,EMERGENCY ANO FIRST AID PROCEDURES External - Normal Good Hygiene,"(0.06799542903900146, 0.11057913303375244, 0.6799118891358376, 0.12953843548893929)",1
f/h/m/m/fhmm0017_page2,Contract Number,Internal - Consult a PHysician,"(0.37707677483558655, 0.14032705128192902, 0.6805119961500168, 0.1526989433914423)",1
