id,pii_type,value,bbox,annotator
f/h/v/b/fhvb0035_page1,Person Name,Linc Ball,"(0.4991703927516937, 0.4603902995586395, 0.5870190635323524, 0.4706052653491497)",0
f/h/v/b/fhvb0035_page1,Person Name,Jim Davis,"(0.538038432598114, 0.4987085461616516, 0.6266901902854443, 0.5088664693757892)",0
f/h/v/b/fhvb0035_page1,Person Name,Loews,"(0.24546249210834503, 0.8009775280952454, 0.28051383793354034, 0.808727690950036)",0
f/h/v/b/fhvb0035_page1,Phone Number,401- North Main Street,"(0.18775561451911926, 0.3184429407119751, 0.39189157634973526, 0.32877888064831495)",0
f/h/v/b/fhvb0035_page1,Phone Number,Winston-Salem North Carolina 27102,"(0.18757759034633636, 0.3310530483722687, 0.5295920260250568, 0.34210664220154285)",0
f/h/v/b/fhvb0035_page1,Location,Winston-Salem North Carolina 27102,"(0.18757759034633636, 0.3310530483722687, 0.5295920260250568, 0.34210664220154285)",0
f/h/v/b/fhvb0035_page1,Location,401- North Main Street,"(0.18775561451911926, 0.3184429407119751, 0.39189157634973526, 0.32877888064831495)",0
f/h/v/b/fhvb0035_page1,Location,North Carolina 27102,"(0.3329318165779114, 0.3310530483722687, 0.5295920260250568, 0.3416547868400812)",0
f/h/v/b/fhvb0035_page1,Organization Name,Lorillard,"(0.17724645137786865, 0.05611924082040787, 0.4268476814031601, 0.11157264932990074)",0
f/h/v/b/fhvb0035_page1,Organization Name,R. J. Reynolds Tobacco Company,"(0.18708795309066772, 0.3062663972377777, 0.4803519695997238, 0.3179931975901127)",0
f/h/v/b/fhvb0035_page1,Organization Name,Loews THEATRES.INC.,"(0.24546249210834503, 0.7998256087303162, 0.35197481513023376, 0.808727690950036)",0
f/h/v/b/fhvb0035_page1,Organization Name,USX156,"(0.9162018895149231, 0.9878884553909302, 0.9578529708087444, 0.9962129183113575)",0
f/h/v/b/fhvb0035_page1,Organization Name,U.S. Ex.,"(0.8442528247833252, 0.8780439496040344, 0.9105936642736197, 0.8942943373695016)",0
f/h/v/b/fhvb0035_page1,Date,"March 15, 1982","(0.5391509532928467, 0.2036200314760208, 0.6777606345713139, 0.21557757165282965)",0
f/h/v/b/fhvb0035_page1,Date,October 1980,"(0.3420824110507965, 0.511557936668396, 0.4676804095506668, 0.5231895688921213)",0
f/h/v/b/fhvb0035_page1,Contract Number,LOC013 1991,"(0.02830871194601059, 0.9267633557319641, 0.1387382186949253, 0.9386165319010615)",0
f/h/v/b/fhvb0035_page1,Contract Number,USX156 405,"(0.9162018895149231, 0.9878884553909302, 0.9826499782502651, 0.9962129183113575)",0
f/h/v/b/fhvb0035_page1,Person Name,Jim Davis,"(0.538038432598114, 0.4987085461616516, 0.6266901902854443, 0.5088664693757892)",1
f/h/v/b/fhvb0035_page1,Person Name,Loews THEATRES.INC.,"(0.24546249210834503, 0.7998256087303162, 0.35197481513023376, 0.808727690950036)",1
f/h/v/b/fhvb0035_page1,Email Address,USX156 405,"(0.9162018895149231, 0.9878884553909302, 0.9826499782502651, 0.9962129183113575)",1
f/h/v/b/fhvb0035_page1,Phone Number,401- North Main Street,"(0.18775561451911926, 0.3184429407119751, 0.39189157634973526, 0.32877888064831495)",1
f/h/v/b/fhvb0035_page1,Phone Number,Winston-Salem North Carolina 27102,"(0.18757759034633636, 0.3310530483722687, 0.5295920260250568, 0.34210664220154285)",1
f/h/v/b/fhvb0035_page1,Phone Number,10019,"(0.3757227957248688, 0.8122335076332092, 0.40601455233991146, 0.8203393835574389)",1
f/h/v/b/fhvb0035_page1,Location,Winston-Salem North Carolina 27102,"(0.18757759034633636, 0.3310530483722687, 0.5295920260250568, 0.34210664220154285)",1
f/h/v/b/fhvb0035_page1,Organization Name,Lorillard,"(0.17724645137786865, 0.05611924082040787, 0.4268476814031601, 0.11157264932990074)",1
f/h/v/b/fhvb0035_page1,Organization Name,OFFICE or THE PRESIDENT,"(0.18296900391578674, 0.14278589189052582, 0.33017806708812714, 0.1494523650035262)",1
f/h/v/b/fhvb0035_page1,Organization Name,R. J. Reynolds Tobacco Company,"(0.18708795309066772, 0.3062663972377777, 0.4803519695997238, 0.3179931975901127)",1
f/h/v/b/fhvb0035_page1,Organization Name,Loews THEATRES.INC.,"(0.24546249210834503, 0.7998256087303162, 0.35197481513023376, 0.808727690950036)",1
f/h/v/b/fhvb0035_page1,Organization Name,U.S. Ex.,"(0.8442528247833252, 0.8780439496040344, 0.9105936642736197, 0.8942943373695016)",1
f/h/v/b/fhvb0035_page1,Organization Name,USX156 405,"(0.9162018895149231, 0.9878884553909302, 0.9826499782502651, 0.9962129183113575)",1
f/h/v/b/fhvb0035_page1,Date,"March 15, 1982","(0.5391509532928467, 0.2036200314760208, 0.6777606345713139, 0.21557757165282965)",1
f/h/v/b/fhvb0035_page1,Date,October 1980,"(0.3420824110507965, 0.511557936668396, 0.4676804095506668, 0.5231895688921213)",1
f/h/v/b/fhvb0035_page1,Contract Number,LOC013 1991,"(0.02830871194601059, 0.9267633557319641, 0.1387382186949253, 0.9386165319010615)",1
f/h/v/b/fhvb0035_page1,Contract Number,USX156 405,"(0.9162018895149231, 0.9878884553909302, 0.9826499782502651, 0.9962129183113575)",1
f/h/v/b/fhvb0035_page1,Person Name,"Mr. Edward A. Horrigam, Jr.","(0.1871950924396515, 0.28057461977005005, 0.4467138256877661, 0.2931712996214628)",2
f/h/v/b/fhvb0035_page1,Person Name,Linc Ball,"(0.4991703927516937, 0.4603902995586395, 0.5870190635323524, 0.4706052653491497)",2
f/h/v/b/fhvb0035_page1,Person Name,Jim Davis,"(0.538038432598114, 0.4987085461616516, 0.6266901902854443, 0.5088664693757892)",2
f/h/v/b/fhvb0035_page1,Person Name,LoeWs,"(0.24546249210834503, 0.8009775280952454, 0.28051383793354034, 0.808727690950036)",2
f/h/v/b/fhvb0035_page1,Phone Number,401- North Main Street,"(0.18775561451911926, 0.3184429407119751, 0.39189157634973526, 0.32877888064831495)",2
f/h/v/b/fhvb0035_page1,Phone Number,27102,"(0.48043039441108704, 0.3313710689544678, 0.5295920260250568, 0.34140046779066324)",2
f/h/v/b/fhvb0035_page1,Location,Winston-Salem North Carolina 27102,"(0.18757759034633636, 0.3310530483722687, 0.5295920260250568, 0.34210664220154285)",2
f/h/v/b/fhvb0035_page1,Location,401- North Main Street,"(0.18775561451911926, 0.3184429407119751, 0.39189157634973526, 0.32877888064831495)",2
f/h/v/b/fhvb0035_page1,Location,U.S. Ex.,"(0.8442528247833252, 0.8780439496040344, 0.9105936642736197, 0.8942943373695016)",2
f/h/v/b/fhvb0035_page1,Organization Name,Lorillard,"(0.17724645137786865, 0.05611924082040787, 0.4268476814031601, 0.11157264932990074)",2
f/h/v/b/fhvb0035_page1,Organization Name,R. J. Reynolds Tobacco Company,"(0.18708795309066772, 0.3062663972377777, 0.4803519695997238, 0.3179931975901127)",2
f/h/v/b/fhvb0035_page1,Organization Name,Loews Theatres.Inc.,"(0.24546249210834503, 0.7998256087303162, 0.35197481513023376, 0.808727690950036)",2
f/h/v/b/fhvb0035_page1,Organization Name,U.S. Ex.,"(0.8442528247833252, 0.8780439496040344, 0.9105936642736197, 0.8942943373695016)",2
f/h/v/b/fhvb0035_page1,Organization Name,USX156,"(0.9162018895149231, 0.9878884553909302, 0.9578529708087444, 0.9962129183113575)",2
f/h/v/b/fhvb0035_page1,Date,"March 15, 1982","(0.5391509532928467, 0.2036200314760208, 0.6777606345713139, 0.21557757165282965)",2
f/h/v/b/fhvb0035_page1,Date,October 1980,"(0.3420824110507965, 0.511557936668396, 0.4676804095506668, 0.5231895688921213)",2
f/h/v/b/fhvb0035_page1,Contract Number,LOC013 1991,"(0.02830871194601059, 0.9267633557319641, 0.1387382186949253, 0.9386165319010615)",2
f/h/v/b/fhvb0035_page1,Contract Number,USX156 405,"(0.9162018895149231, 0.9878884553909302, 0.9826499782502651, 0.9962129183113575)",2
