id,pii_type,value,bbox,annotator
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",0
f/h/x/h/fhxh0140_page1,Organization Name,DoD,"(0.7599387168884277, 0.8498169779777527, 0.7954166159033775, 0.8604305842891335)",0
f/h/x/h/fhxh0140_page1,Date,"March 1, 1986","(0.2603479027748108, 0.30509600043296814, 0.4191059432923794, 0.31730124447494745)",0
f/h/x/h/fhxh0140_page1,Date,"March 11, 1986","(0.39903199672698975, 0.37912067770957947, 0.568125419318676, 0.39118724688887596)",0
f/h/x/h/fhxh0140_page1,Date,"June 11, 1986","(0.23743967711925507, 0.540460467338562, 0.39732061326503754, 0.5524259032681584)",0
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",0
f/h/x/h/fhxh0140_page1,Contract Number,https://www.industrydocuments.ucsf.edu/docs/fhxh0140,"(0.22074784338474274, 0.9808133244514465, 0.77906633913517, 0.9973880313336849)",0
f/h/x/h/fhxh0140_page1,Email Address,https://www.industrydocuments.ucsf.edu/docs/fhxh0140,"(0.22074784338474274, 0.9808133244514465, 0.77906633913517, 0.9973880313336849)",1
f/h/x/h/fhxh0140_page1,Phone Number,The Senate FY 86 Defense Appropriations Bill contained a,"(0.20155124366283417, 0.2134079784154892, 0.8488010596483946, 0.22784700524061918)",1
f/h/x/h/fhxh0140_page1,Phone Number,The Assistant,"(0.6429318785667419, 0.2736833989620209, 0.7907867953181267, 0.2851147959008813)",1
f/h/x/h/fhxh0140_page1,Phone Number,"by March 1, 1986, addressing health and other issues.","(0.22471332550048828, 0.3038189113140106, 0.8338402062654495, 0.3194063538685441)",1
f/h/x/h/fhxh0140_page1,Phone Number,Deputy Secretary,"(0.6071316003799438, 0.36444970965385437, 0.7928061857819557, 0.3774491399526596)",1
f/h/x/h/fhxh0140_page1,Phone Number,"March 11, 1986. The Directive","(0.39903199672698975, 0.3786047399044037, 0.7451413050293922, 0.39118724688887596)",1
f/h/x/h/fhxh0140_page1,Phone Number,"On June 11, 1986, the U.S. Army announced its Tobacco","(0.2027880996465683, 0.5391393899917603, 0.8165753185749054, 0.5526775065809488)",1
f/h/x/h/fhxh0140_page1,Location,U.S. Army,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",1
f/h/x/h/fhxh0140_page1,Location,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",1
f/h/x/h/fhxh0140_page1,Location,DoD,"(0.7599387168884277, 0.8498169779777527, 0.7954166159033775, 0.8604305842891335)",1
f/h/x/h/fhxh0140_page1,Location,https://www.industrydocuments.ucsf.edu/docs/fhxh0140,"(0.22074784338474274, 0.9808133244514465, 0.77906633913517, 0.9973880313336849)",1
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",1
f/h/x/h/fhxh0140_page1,Date,"March 1, 1986","(0.2603479027748108, 0.30509600043296814, 0.4191059432923794, 0.31730124447494745)",1
f/h/x/h/fhxh0140_page1,Date,"March 11, 1986","(0.39903199672698975, 0.37912067770957947, 0.568125419318676, 0.39118724688887596)",1
f/h/x/h/fhxh0140_page1,Date,"June 11, 1986","(0.23743967711925507, 0.540460467338562, 0.39732061326503754, 0.5524259032681584)",1
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",1
f/h/x/h/fhxh0140_page1,Phone Number,The Senate FY 86 Defense Appropriations Bill contained a,"(0.20155124366283417, 0.2134079784154892, 0.8488010596483946, 0.22784700524061918)",2
f/h/x/h/fhxh0140_page1,Phone Number,The Directive,"(0.5952699780464172, 0.3786047399044037, 0.7451413050293922, 0.39001864939928055)",2
f/h/x/h/fhxh0140_page1,Phone Number,"On June 11, 1986, the U.S. Army announced its Tobacco","(0.2027880996465683, 0.5391393899917603, 0.8165753185749054, 0.5526775065809488)",2
f/h/x/h/fhxh0140_page1,Location,U.S. Army,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",2
f/h/x/h/fhxh0140_page1,Location,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",2
f/h/x/h/fhxh0140_page1,Location,DoD,"(0.7599387168884277, 0.8498169779777527, 0.7954166159033775, 0.8604305842891335)",2
f/h/x/h/fhxh0140_page1,Location,https://www.industrydocuments.ucsf.edu,"(0.22074784338474274, 0.9808133244514465, 0.77906633913517, 0.9973880313336849)",2
f/h/x/h/fhxh0140_page1,Organization Name,U.S. ARMY,"(0.4557933807373047, 0.11092761158943176, 0.5595950558781624, 0.12212115433067083)",2
f/h/x/h/fhxh0140_page1,Organization Name,Defense Department,"(0.35350674390792847, 0.33370983600616455, 0.6064433678984642, 0.3478387799113989)",2
f/h/x/h/fhxh0140_page1,Organization Name,DoD,"(0.7599387168884277, 0.8498169779777527, 0.7954166159033775, 0.8604305842891335)",2
f/h/x/h/fhxh0140_page1,Organization Name,U.S. Army,"(0.4587068259716034, 0.5404009819030762, 0.5617062970995903, 0.5526775065809488)",2
f/h/x/h/fhxh0140_page1,Contract Number,TIMN 353405,"(0.7352181673049927, 0.9320210218429565, 0.915548786520958, 0.9522014763206244)",2
f/h/x/h/fhxh0140_page1,Contract Number,https://www.industrydocuments.ucsf.edu/docs/fhxh0140,"(0.22074784338474274, 0.9808133244514465, 0.77906633913517, 0.9973880313336849)",2
