id,pii_type,value,bbox,annotator
f/j/k/b/fjkb0133_page1,Person Name,G. Maresca,"(0.6145263314247131, 0.13310599327087402, 0.7097112610936165, 0.14559081569314003)",0
f/j/k/b/fjkb0133_page1,Person Name,K. Noone,"(0.6133632659912109, 0.14950118958950043, 0.6938755214214325, 0.16206090338528156)",0
f/j/k/b/fjkb0133_page1,Person Name,B. Adler,"(0.6139286160469055, 0.18706142902374268, 0.6847067512571812, 0.1992790400981903)",0
f/j/k/b/fjkb0133_page1,Person Name,A. Evans,"(0.612937331199646, 0.20731058716773987, 0.6892356723546982, 0.21954490151256323)",0
f/j/k/b/fjkb0133_page1,Person Name,G. Fous,"(0.6136807203292847, 0.22720681130886078, 0.680579699575901, 0.23945516347885132)",0
f/j/k/b/fjkb0133_page1,Person Name,J. Powers,"(0.6132556200027466, 0.24799422919750214, 0.6921370849013329, 0.2600727556273341)",0
f/j/k/b/fjkb0133_page1,Person Name,R. Reifenheiser,"(0.6139885187149048, 0.2680259644985199, 0.7433276474475861, 0.28052918612957)",0
f/j/k/b/fjkb0133_page1,Person Name,J. Sargent,"(0.6133425235748291, 0.2892622649669647, 0.6953565888106823, 0.30473188031464815)",0
f/j/k/b/fjkb0133_page1,Person Name,M. Schan,"(0.6141452789306641, 0.3091445565223694, 0.6910923682153225, 0.32182736974209547)",0
f/j/k/b/fjkb0133_page1,Location,https://www.industrydocuments.ucsf.edu/docs/fjkb0133,"(0.20752756297588348, 0.9798617959022522, 0.7932088822126389, 0.9974306430667639)",0
f/j/k/b/fjkb0133_page1,Organization Name,G. Maresca,"(0.6145263314247131, 0.13310599327087402, 0.7097112610936165, 0.14559081569314003)",0
f/j/k/b/fjkb0133_page1,Organization Name,K. Noone,"(0.6133632659912109, 0.14950118958950043, 0.6938755214214325, 0.16206090338528156)",0
f/j/k/b/fjkb0133_page1,Organization Name,B. Adler,"(0.6139286160469055, 0.18706142902374268, 0.6847067512571812, 0.1992790400981903)",0
f/j/k/b/fjkb0133_page1,Organization Name,A. Evans,"(0.612937331199646, 0.20731058716773987, 0.6892356723546982, 0.21954490151256323)",0
f/j/k/b/fjkb0133_page1,Organization Name,G. Fous,"(0.6136807203292847, 0.22720681130886078, 0.680579699575901, 0.23945516347885132)",0
f/j/k/b/fjkb0133_page1,Organization Name,J. Powers,"(0.6132556200027466, 0.24799422919750214, 0.6921370849013329, 0.2600727556273341)",0
